,书名,作者,出版社,售价,豆瓣评分,评论数量
18,少年凯歌,陈凯歌 , 人民文学出版社 , 10.00元,9.2,(5724人评价)
64,吞噬时间的恋人,王宇昆 , 天津人民出版社 , 42.00元,9.1,(23人评价)
26,绿毛水怪,王小波 , 北京十月文艺出版社 , 39.00元,9.1,(5834人评价)
17,怦然心动,文德琳·范·德拉安南  陈常歌 , 百花洲文艺出版社 , 42.80元,9.1,(3865人评价)
16,平凡的世界,路遥 , 北京十月文艺出版社 , 99.00元,9.1,(17531人评价)
8,强风吹拂,三浦紫苑  林佩瑾、李建铨、杨正敏 , 广西师范大学出版社 , 39.00元,9.0,(12826人评价)
45,情书,岩井俊二  穆晓芳 , 南海出版公司 , 45.00元,8.9,(5098人评价)
87,血色浪漫,都梁 , 人民文学出版社 , 40.00元,8.9,(3296人评价)
50,潮骚,[日] 三岛由纪夫  张舟 , 北京十月文艺出版社 , 45元,8.8,(1956人评价)
65,白日事故,高台樹色  留守番 ,***, NTD 780元,8.8,(1379人评价)
9,夏日终曲,[美] 安德烈·艾席蒙  吴妍蓉 , 外语教学与研究出版社 , 39.90元,8.8,(16509人评价)
15,雨季不再来,三毛 , 北京十月文艺出版社 , 28.00元,8.7,(42955人评价)
7,最好的我们,八月长安 , 湖南文艺出版社 , 55元,8.7,(59187人评价)
34,小先生,咬春饼 , 青岛出版社 , 65.00元,8.6,(930人评价)
32,请以你的名字呼唤我,安德烈·艾席蒙  权景 , 中国友谊出版公司 , 29.80元,8.6,(9939人评价)
0,撒野,巫哲 , 北京联合出版公司 , 45.00元,8.6,(29981人评价)
6,情书,[日] 岩井俊二  穆晓芳 , 天津人民出版社 , 18.00元,8.6,(89576人评价)
11,挪威的森林,[日]村上春树  林少华 , 上海译文出版社 , 38.00元,8.6,(8971人评价)
27,横道世之介,[日] 吉田修一  林雅惠 , 上海人民出版社 , 55.00元,8.5,(3669人评价)
5,挪威的森林,[日] 村上春树  林少华 , 上海译文出版社 , 23.00元,8.5,(108127人评价)
